date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:52:21	22/22	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Feb%202026%2020:52:21%20GMT	https://new.axilthemes.com/robots.txt		(from )
23:52:21	44799/44799	---MCZ	200	added ('OK')	text/html	etag:W/%226259709f-aeff%22	https://new.axilthemes.com/demo/template/splash/blogar/	C:/My%20Web%20Sites/Web/new.axilthemes.com/demo/template/splash/blogar/index.html	(from )
23:52:21	2030/2030	---M--	200	added ('OK')	image/png	etag:%225fb51693-7ee%22	https://new.axilthemes.com/demo/template/splash/blogar/assets/images/favicon.png	C:/My%20Web%20Sites/Web/new.axilthemes.com/demo/template/splash/blogar/assets/images/favicon.png	(from https://new.axilthemes.com/demo/template/splash/blogar/)
23:52:22	160353/160353	---MCZ	200	added ('OK')	text/css	etag:W/%225fb5169d-27261%22	https://new.axilthemes.com/demo/template/splash/blogar/assets/css/vendor/bootstrap.min.css	C:/My%20Web%20Sites/Web/new.axilthemes.com/demo/template/splash/blogar/assets/css/vendor/bootstrap.min.css	(from https://new.axilthemes.com/demo/template/splash/blogar/)
23:52:22	156672/156672	---MCZ	200	added ('OK')	text/css	etag:W/%225fb5169e-26400%22	https://new.axilthemes.com/demo/template/splash/blogar/assets/css/vendor/font-awesome.css	C:/My%20Web%20Sites/Web/new.axilthemes.com/demo/template/splash/blogar/assets/css/vendor/font-awesome.css	(from https://new.axilthemes.com/demo/template/splash/blogar/)
23:52:23	1851/1851	---M--	200	added ('OK')	text/css	etag:%225fb516a0-73b%22	https://new.axilthemes.com/demo/template/splash/blogar/assets/css/vendor/slick.css	C:/My%20Web%20Sites/Web/new.axilthemes.com/demo/template/splash/blogar/assets/css/vendor/slick.css	(from https://new.axilthemes.com/demo/template/splash/blogar/)
23:52:23	3354/3354	---M--	200	added ('OK')	text/css	etag:%225fb5169f-d1a%22	https://new.axilthemes.com/demo/template/splash/blogar/assets/css/vendor/slick-theme.css	C:/My%20Web%20Sites/Web/new.axilthemes.com/demo/template/splash/blogar/assets/css/vendor/slick-theme.css	(from https://new.axilthemes.com/demo/template/splash/blogar/)
23:52:23	168091/168091	---MCZ	200	added ('OK')	text/css	etag:W/%225fb51655-2909b%22	https://new.axilthemes.com/demo/template/splash/blogar/assets/css/style.css	C:/My%20Web%20Sites/Web/new.axilthemes.com/demo/template/splash/blogar/assets/css/style.css	(from https://new.axilthemes.com/demo/template/splash/blogar/)
23:52:23	44799/44799	---MCZ	200	added ('OK')	text/html	etag:W/%226259709f-aeff%22	https://new.axilthemes.com/demo/template/splash/blogar/index.html	C:/My%20Web%20Sites/Web/new.axilthemes.com/demo/template/splash/blogar/index-2.html	(from https://new.axilthemes.com/demo/template/splash/blogar/)
23:52:24	3762/3762	---M--	200	added ('OK')	image/png	etag:%225fb516d3-eb2%22	https://new.axilthemes.com/demo/template/splash/blogar/assets/images/logo/logo-white.png	C:/My%20Web%20Sites/Web/new.axilthemes.com/demo/template/splash/blogar/assets/images/logo/logo-white.png	(from https://new.axilthemes.com/demo/template/splash/blogar/)
